SUBURB,BOX-CODE,STR-CODE,AREA,
ALDERLEY,5070,,ELLIOTDALE,
ALEXANDER BAY,8290,,ALEXANDER BAY,
ALEXANDERBAAI,8290,,ALEXANDER BAY,
ALEXANDER PARK,,3610,PINETOWN,
ALEXANDERPARK,,3610,PINETOWN,
ALEXANDER PARK INDUSTRIAL,,6229,UITENHAGE,
ALEXANDERPARK INDUSTRIEEL,,6229,UITENHAGE,
ALEXANDRA,2014,2090,JOHANNESBURG,
ALEXANDRA EAST,2077,,BRYANSTON,
ALEXANDRA-OOS,2077,,BRYANSTON,
ALEXANDRA EXT 1,,2090,JOHANNESBURG,
ALEXANDRA UIT 1,,2090,JOHANNESBURG,
ALEXANDRA EXT 10,2014,2090,JOHANNESBURG,
ALEXANDRA UIT 10,2014,2090,JOHANNESBURG,
ALEXANDRA EXT 15,2014,2090,JOHANNESBURG,
ALEXANDRA UIT 15,2014,2090,JOHANNESBURG,
ALEXANDRA EXT 2,,2090,JOHANNESBURG,
ALEXANDRA UIT 2,,2090,JOHANNESBURG,
ALEXANDRA EXT 3,2090,2090,JOHANNESBURG,
ALEXANDRA UIT 3,2090,2090,JOHANNESBURG,
ALEXANDRA EXT 5,,2090,JOHANNESBURG,
ALEXANDRA UIT 5,,2090,JOHANNESBURG,
ALEXANDRA EXT 7,,2090,JOHANNESBURG,
ALEXANDRA UIT 7,,2090,JOHANNESBURG,
ALEXANDRA EXT 8,,2090,JOHANNESBURG,
ALEXANDRA UIT 8,,2090,JOHANNESBURG,
ALEXANDRA EXT 9,2077,2090,JOHANNESBURG,
ALEXANDRA UIT 9,2077,2090,JOHANNESBURG,
ALEXANDRA PHASE 1,2014,2090,JOHANNESBURG,
ALEXANDRA FASE 1,2014,2090,JOHANNESBURG,
ALEXANDRA PHASE 10,2014,2090,JOHANNESBURG,
ALEXANDRA FASE 10,2014,2090,JOHANNESBURG,
ALEXANDRA PHASE 2,2090,2090,JOHANNESBURG,
ALEXANDRA FASE 2,2090,2090,JOHANNESBURG,
ALEXANDRA PHASE 3,2014,2090,JOHANNESBURG,
ALEXANDRA FASE 3,2014,2090,JOHANNESBURG,
ALEXANDRA SOUTH,2073,,BRAMLEY,
ALEXANDRA-SUID,2073,,BRAMLEY,
ALEXANDRIA,6185,6185,ALEXANDRIA,
