SUBURB,BOX-CODE,STR-CODE,AREA,
DOORNBULT,,0699,POLOKWANE,
DOORNFONTEIN,2028,2094,JOHANNESBURG,
DOORNFONTEIN,,9459,WELKOM,
DOORNFONTEIN,2500,2500,CARLETONVILLE,
DOORNFONTEIN NORTH,,2094,JOHANNESBURG,
DOORNFONTEIN-NOORD,,2094,JOHANNESBURG,
DOORNHOEK,3370,,LADYSMITH,
DOORNHOOGTE,,7764,GATESVILLE,
DOORNKOP,1821,,LENASIA,
DOORNKOP,1723,1874,DOBSONVILLE,
DOORNKOP,1041,,MIDDELBURG,
DOORNKOP EXT 1,,1874,DOBSONVILLE,
DOORNKOP UIT 1,,1874,DOBSONVILLE,
DOORNKOP EXT 3,,1874,DOBSONVILLE,
DOORNKOP UIT 3,,1874,DOBSONVILLE,
DOORNKOP EXT 4,,1874,DOBSONVILLE,
DOORNKOP UIT 4,,1874,DOBSONVILLE,
DOORNPARK,0017,,DOORNPOORT,
DOORNPOORT,0017,0186,PRETORIA,
DOORNPOORT EXT 1,0017,0186,DOORNPOORT,
DOORNPOORT UIT 1,0017,0186,DOORNPOORT,
DOORNPOORT EXT 17,,0186,DOORNPOORT,
DOORNPOORT UIT 17,,0186,DOORNPOORT,
DOORNPOORT EXT 2,0017,0186,PRETORIA,
DOORNPOORT UIT 2,0017,0186,PRETORIA,
DOORNPOORT EXT 29,0017,0186,DOORNPOORT,
DOORNPOORT UIT 29,0017,0186,DOORNPOORT,
DOORNPOORT EXT 30,0017,0186,DOORNPOORT,
DOORNPOORT UIT 30,0017,0186,DOORNPOORT,
DOORNPOORT EXT 31,0017,0186,DOORNPOORT,
DOORNPOORT UIT 31,0017,0186,DOORNPOORT,
DOORNPOORT EXT 32,0017,0186,DOORNPOORT,
DOORNPOORT UIT 32,0017,0186,DOORNPOORT,
DOORNPOORT EXT 33,0017,0186,DOORNPOORT,
DOORNPOORT UIT 33,0017,0186,DOORNPOORT,
DOORNPOORT EXT 34,0017,0186,DOORNPOORT,
DOORNPOORT UIT 34,0017,0186,DOORNPOORT,
DOORNPOORT EXT 4,0017,0186,DOORNPOORT,
DOORNPOORT UIT 4,0017,0186,DOORNPOORT,
DOORNPOORT EXT 40,0017,0186,DOORNPOORT,
DOORNPOORT UIT 40,0017,0186,DOORNPOORT,
DOORNPOORT EXT 41,0017,0182,DOORNPOORT,
DOORNPOORT UIT 41,0017,0182,DOORNPOORT,
DOORNPOORT EXT 6,0017,0186,DOORNPOORT,
DOORNPOORT UIT 6,0017,0186,DOORNPOORT,
DOORNSPRUIT,0759,,SUPERBIA,
DORANDIA,0188,0182,PRETORIA,
DORANDIA EXT 1,0188,0182,PRETORIA NORTH,
DORANDIA UIT 1,0188,0182,PRETORIA NORTH,
DORANDIA EXT 10,,0182,PRETORIA NORTH,
DORANDIA UIT 10,,0182,PRETORIA NORTH,
DORANDIA EXT 11,,0182,PRETORIA NORTH,
DORANDIA UIT 11,,0182,PRETORIA NORTH,
DORANDIA EXT 13,,0182,PRETORIA NORTH,
DORANDIA UIT 13,,0182,PRETORIA NORTH,
DORANDIA EXT 15,,0182,PRETORIA NORTH,
DORANDIA UIT 15,,0182,PRETORIA NORTH,
DORANDIA EXT 16,,0182,PRETORIA NORTH,
DORANDIA UIT 16,,0182,PRETORIA NORTH,
DORANDIA EXT 2,,0182,PRETORIA NORTH,
DORANDIA UIT 2,,0182,PRETORIA NORTH,
DORANDIA EXT 4,,0182,PRETORIA NORTH,
DORANDIA UIT 4,,0182,PRETORIA NORTH,
DORANDIA EXT 5,,0182,PRETORIA NORTH,
DORANDIA UIT 5,,0182,PRETORIA NORTH,
DORANDIA EXT 6,,0182,PRETORIA NORTH,
DORANDIA UIT 6,,0182,PRETORIA NORTH,
DORANDIA EXT 7,,0182,PRETORIA NORTH,
DORANDIA UIT 7,,0182,PRETORIA NORTH,
DORANDIA EXT 8,,0182,PRETORIA NORTH,
DORANDIA UIT 8,,0182,PRETORIA NORTH,
DORANDIA EXT 9,,0182,PRETORIA NORTH,
DORANDIA UIT 9,,0182,PRETORIA NORTH,
DORBANK,,6625,OUDTSHOORN,
DORCHESTER HEIGHTS,,5241,EAST LONDON,
DORDRECHT,5435,5435,DORDRECHT,
DORHILL EST,,7130,SOMERSET WEST,
DORHILL LGD,,7130,SOMERSET WEST,
DORING BAY,8151,8151,VREDENDAL,
DORINGBAAI,8151,8151,VREDENDAL,
DORINGKLOOF,0157,0157,CENTURION,
DORINGKOP,4455,4449,STANGER,
DORINGKRUIN,2576,2571,KLERKSDORP,
DORMEHLSDRIFT,,6529,GEORGE,
DORMERTON,4015,4091,DURBAN,
DORPSIG,,6705,ROBERTSON,
DORPSPRUIT,3206,3201,PIETERMARITZBURG,
DOSSET,3000,,DUNDEE,
DOTYENI,5400,,TSOMO,
DOUBLE FALLS,5160,,LIBODE,
DOUGLAS,8730,8730,DOUGLAS,
DOUGLASDALE,2165,2191,BRYANSTON,
DOUGLASDALE,2021,2191,BRYANSTON,
DOUGLASDALE EXT,2021,2191,BRYANSTON,
DOUGLASDALE UIT,2021,2191,BRYANSTON,
DOUGLASDALE EXT 13,2055,2191,BRYANSTON,
DOUGLASDALE UIT 13,2055,2191,BRYANSTON,
DOUGLASDALE EXT 16,2055,2191,BRYANSTON,
DOUGLASDALE UIT 16,2055,2191,BRYANSTON,
DOUGLASDALE EXT 18,2060,2191,BRYANSTON,
DOUGLASDALE UIT 18,2060,2191,BRYANSTON,
DOUGLASDALE EXT 24,2055,2191,BRYANSTON,
DOUGLASDALE UIT 24,2055,2191,BRYANSTON,
DOUGLASDALE EXT 27,2055,2191,BRYANSTON,
DOUGLASDALE UIT 27,2055,2191,BRYANSTON,
DOUGLASDALE EXT 30,,2191,BRYANSTON,
DOUGLASDALE UIT 30,,2191,BRYANSTON,
DOUGLASDALE EXT 36,2165,2191,BRYANSTON,
DOUGLASDALE UIT 36,2165,2191,BRYANSTON,
DOUGLASDALE EXT 39,,2191,BRYANSTON,
DOUGLASDALE UIT 39,,2191,BRYANSTON,
DOUGLASDALE EXT 4,2152,2191,BRYANSTON,
DOUGLASDALE UIT 4,2152,2191,BRYANSTON,
DOUGLASDALE EXT 41,,2191,BRYANSTON,
DOUGLASDALE UIT 41,,2191,BRYANSTON,
DOUGLASDALE EXT 42,,2191,BRYANSTON,
DOUGLASDALE UIT 42,,2191,BRYANSTON,
DOUGLASDALE EXT 52,,2191,BRYANSTON,
DOUGLASDALE UIT 52,,2191,BRYANSTON,
DOUGLASDALE EXT 68,,2191,BRYANSTON,
DOUGLASDALE UIT 68,,2191,BRYANSTON,
DOUGLASDALE EXT 8,,2191,BRYANSTON,
DOUGLASDALE UIT 8,,2191,BRYANSTON,
DOUGLASDALE EXT 9,2060,2191,BRYANSTON,
DOUGLASDALE UIT 9,2060,2191,BRYANSTON,
DOVEHOUSE,,3610,GILLITTS,
DOWERGLEN,1612,1609,EDENVALE,
DOWERGLEN EXT 1,,1609,EDENVALE,
DOWERGLEN UIT 1,,1609,EDENVALE,
DOWERGLEN EXT 2,,1609,EDENVALE,
DOWERGLEN UIT 2,,1609,EDENVALE,
DOWERGLEN EXT 3,,1609,EDENVALE,
DOWERGLEN UIT 3,,1609,EDENVALE,
DOWERGLEN EXT 4,,1609,EDENVALE,
DOWERGLEN UIT 4,,1609,EDENVALE,
DOWERGLEN EXT 5,,1609,EDENVALE,
DOWERGLEN UIT 5,,1609,EDENVALE,
DOWERGLEN EXT 7,1612,1609,EDENVALE,
DOWERGLEN UIT 7,1612,1609,EDENVALE,
DOWERGLEN EXT 8,,1609,EDENVALE,
DOWERGLEN UIT 8,,1609,EDENVALE,
DOWERGLEN EXT 9,,1609,EDENVALE,
DOWERGLEN UIT 9,,1609,EDENVALE,
DOWERVILLE,,6059,PORT ELIZABETH,
DOWN,,6445,WILLOWMORE,
DR BRAUN,,6229,UITENHAGE,
DR BRAUN TSP,,6229,UITENHAGE,
DR BRAUN DGD,,6229,UITENHAGE,
DRAAI LOCATION,,6265,JANSENVILLE,
DRAAI LOKASIE,,6265,JANSENVILLE,
DRAAIFONTEIN,6017,,HUNTER'S RETREAT,
DRAAIKRAAL,1112,,WITBANK,
DRAEGER PLACE,4019,,DURBAN NORTH,
DRAGON PEAKS,3331,,WINTERTON,
DRAKENSBURG GARDEN,3340,,WINTERTON,
DRAKENSIG,1380,1380,HOEDSPRUIT,
DRAKENSVIEW,,3310,ESTCOURT,
DRAKENSIG,,3310,ESTCOURT,
DRAMAVILLE,,1939,VEREENIGING,
DRAYCOTT,3312,,ESTCOURT,
DREW,6741,,BONNIEVALE,
DREYERSDAL EST,,7945,BERGVLIET,
DREYERSDAL LGD,,7945,BERGVLIET,
DRIEFONTEIN,2302,,SECUNDA,
DRIEFONTEIN,1747,1739,MULDERSDRIF,
DRIEFONTEIN,3379,,LADYSMITH,
DRIEHOEK,,1401,GERMISTON,
DRIEKOP,1129,,LYDENBURG,
DRIEKOPPIES,0617,,REBONE,
DRIEZIEK,1805,1841,ORANGE FARM,
DRIEZIEK EXT 1,1805,1841,ORANGE FARM,
DRIEZIEK UIT 1,1805,1841,ORANGE FARM,
DRIEZIEK EXT 3,1805,1841,ORANGE FARM,
DRIEZIEK UIT 3,1805,1841,ORANGE FARM,
DRIEZIEK EXT 5,1805,1841,ORANGE FARM,
DRIEZIEK UIT 5,1805,1841,ORANGE FARM,
DRIEZIEK EXT 6,1805,1841,ORANGE FARM,
DRIEZIEK UIT 6,1805,1841,ORANGE FARM,
DRIEZIEK EXT 9,1805,1841,ORANGE FARM,
DRIEZIEK UIT 9,1805,1841,ORANGE FARM,
DRIFT SANDS,,7100,EERSTE RIVER,
DRIFTSANDS,6000,,PORT ELIZABETH,
DRIFTSANDS,,7100,EERSTE RIVER,
DRIFTSAND,,7100,EERSTE RIVER,
DRIVE INN,,4399,TONGAAT,
DRIVER'S DRIFT,5417,,LADY FRERE,
DROOGEFONTEIN,2211,,SUNDRA,
DROSTDY PARK,,7580,KUILS RIVER,
DROSTE PARK,,2094,JOHANNESBURG,
DROSTE PARK EXT 1,,2094,JOHANNESBURG,
DROSTE PARK UIT 1,,2094,JOHANNESBURG,
DRUM ROCK EXT 3,1200,1200,NELSPRUIT,
DRUM ROCK UIT 3,1200,1200,NELSPRUIT,
DRUMBLAIR,,7945,TOKAI,
DRUMMOND,3626,,PINETOWN,
DRUSANA,9311,,BLOEMFONTEIN,
DRY HARTS,8588,,TAUNG STATION,
DRYFSAND,8294,,ALEXANDER BAY,
DUBE,1800,1801,DUBE,
DUBE HOSTEL,,1801,MEADOWLANDS,
DUBE VILLAGE,4310,4309,INANDA,
DUBE VILLAGE,,1801,DUBE,
DUCK POND VILLAGE,,7140,STRAND,
DUDUDU,4192,,SCOTTBURGH,
DUDUZA,1494,1496,NIGEL,
DUDUZA EXT,1497,,NIGEL,
DUDUZA UIT,1497,,NIGEL,
DUDUZA EXT 1,,1496,NIGEL,
DUDUZA UIT 1,,1496,NIGEL,
DUDUZA EXT 2,,1497,NIGEL,
DUDUZA UIT 2,,1497,NIGEL,
DUDUZA EXT 3,,1496,NIGEL,
DUDUZA UIT 3,,1496,NIGEL,
DUFF'S ROAD,,4051,DURBAN NORTH,
DUFFWEG,,4051,DURBAN NORTH,
DUFFIELD,,2740,LICHTENBURG,
DUFFS ROAD,,4051,DURBAN NORTH,
DUINENDAL,,7140,STRAND,
DUIWELSKLOOF,0835,0835,TZANEEN,
DUKATHOLE,9752,9750,ALIWAL NORTH,
DUKATHOLE,1411,1401,GERMISTON,
DUKUDUKA,3936,3936,ST LUCIA ESTUARY,
DUKUDUKU,3936,3936,ST LUCIA ESTUARY,
DUKUZA,3350,,BERGVILLE,
DULCIES NEK,9766,,EXCELSIOR,
DULLSTROOM,1110,,LYDENBURG,
DUMA RPA,2343,2343,NORTH WEST,
DUMABENSHIYA,4821,,DUMABENSHIYA,
DUMBE,3182,3180,VRYHEID,
DUMPHRIES,1369,,THULAMAHASHE,
DUNCAN VILLAGE,5216,5209,EAST LONDON,
DUNCANVILLE,,1939,VEREENIGING,
DUNCANVILLE EXT 1,,1939,VEREENIGING,
DUNCANVILLE UIT 1,,1939,VEREENIGING,
DUNCANVILLE EXT 3,,1939,VEREENIGING,
DUNCANVILLE UIT 3,,1939,VEREENIGING,
DUNDEE,3000,3000,,
DUNDEE INDUSTRIAL,,3000,DUNDEE,
DUNDONALD,2336,,ERMELO,
DUNDONALD EXT 2,,2336,DUNDONALD,
DUNDONALD UIT 2,,2336,DUNDONALD,
DUNGU,5090,,MOUNT FRERE,
DUNHILL,,2192,JOHANNESBURG,
DUNKELD,,2196,JOHANNESBURG,
DUNKELD WEST,,2196,JOHANNESBURG,
DUNKELD-WES,,2196,JOHANNESBURG,
DUNKELD WEST EXT 1,,2196,JOHANNESBURG,
DUNKELD-WES UIT 1,,2196,JOHANNESBURG,
DUNKELD WEST EXT 2,,2196,JOHANNESBURG,
DUNKELD-WES UIT 2,,2196,JOHANNESBURG,
DUNKELD WEST EXT 27,,2196,JOHANNESBURG,
DUNKELD-WES UIT 27,,2196,JOHANNESBURG,
DUNKELD WEST EXT 46,,2196,JOHANNESBURG,
DUNKELD-WES UIT 46,,2196,JOHANNESBURG,
DUNKELD WEST EXT 5,,2196,JOHANNESBURG,
DUNKELD-WES UIT 5,,2196,JOHANNESBURG,
DUNKELD WEST EXT 6,,2196,JOHANNESBURG,
DUNKELD-WES UIT 6,,2196,JOHANNESBURG,
DUNKELD WEST EXT 7,,2196,JOHANNESBURG,
DUNKELD-WES UIT 7,,2196,JOHANNESBURG,
DUNKELD WEST EXT 8,,2196,JOHANNESBURG,
DUNKELD-WES UIT 8,,2196,JOHANNESBURG,
DUNMADELEY,,1459,BOKSBURG,
DUNNOTTAR,1590,1496,NIGEL,
DUNOON,7438,7441,MILNERTON,
DUNSEVERN,,2090,JOHANNESBURG,
DUNSWART,1508,,BENONI,
DUNUSA,1916,,VANDERBIJLPARK,
DUNVEGAN,,1609,EDENVALE,
DUNVEGAN EXT 2,1610,1609,EDENVALE,
DUNVEGAN UIT 2,1610,1609,EDENVALE,
DUNVERIA,,3201,PIETERMARITZBURG,
DURBAN,4000,4001,DURBAN,
DURBAN DEEP,,1724,ROODEPOORT,
DURBAN NORTH,4016,4051,DURBAN,
DURBAN-NOORD,4016,4051,DURBAN,
DURBANVALE,,7550,DURBANVILLE,
DURBANVILLE,7551,7550,CAPE TOWN,
DURBANVILLE HILLS,,7550,DURBANVILLE,
DURBANVILLE HEUWELS,,7550,DURBANVILLE,
DURBELL,,7550,DURBANVILLE,
DURMAIL,4003,,DURBAN,
DURMONTE,,7550,DURBANVILLE,
DURNACOL,3082,3082,NEWCASTLE,
DURRHEIGHTS,5000,,IDUTYWA,
DURRHEIM,7491,7490,MATROOSFONTEIN,
DUTYINI,4737,,MOUNT AYLIFF,
DUTYINI,5130,,TABANKULU,
DUTYWA,5000,5000,IDUTYWA,
DUVHA PARK,1035,1034,WITBANK,
DUVHA PARK EXT 2,1035,1034,WITBANK,
DUVHA PARK UIT 2,1035,1034,WITBANK,
DUXBERRY,2149,2191,JOHANNESBURG,
DUXBERRY EXT 1,2149,2191,JOHANNESBURG,
DUXBERRY UIT 1,2149,2191,JOHANNESBURG,
DUYNEFONTEIN,,7441,MELKBOSSTRAND,
DWAALBOOM,0319,0319,THABAZIMBI,
DWAARSKLOOF,,1759,RANDFONTEIN,
DWARS RIVER,0812,0812,POLOKWANE,
DWARSRIVIER,0812,0812,POLOKWANE,
DWARSBERG,2857,,MAHIKENG,
DWARSKERSBOS,7365,,VELDDRIF,
DWARSKLOOF,,1759,RANDFONTEIN,
DWARSVLEI,,1759,RANDFONTEIN,
DWESHULA,4247,,PORT SHEPSTONE,
DYASONSKLIP,8805,,UPINGTON,
DYSSELSDORP,6628,6628,OUDTSHOORN,
DZANANI,0955,0955,SIBASA,
DZANANI 2,0955,0955,SIBASA,
DZIMAULI,0975,0975,SIBASA,
DZIMAULI VILLAGE,0975,0975,SIBASA,
DZUMERI,0833,,MALAMULELE,
E-FREEDOM SAVE,0079,,PRETORIA,
EAGLE PARK,,7941,GRASSY PARK,
EAGLE'S NEK,4960,,BUTTERWORTH,
EAGLE'S NEST,,2091,JOHANNESBURG,
EAGLES LANDING,2040,,JOHANNESBURG,
EAGLES NEST,,2091,JOHANNESBURG,
EARLSFIELD,,4037,MARBLE RAY,
EAST BANK,,2090,JOHANNESBURG,
EAST DRIEFONTEIN,2509,2499,CARLETONVILLE,
OOS-DRIEFONTEIN,2509,2499,CARLETONVILLE,
EAST END,4018,,DURBAN,
OOS-EINDE,4018,,DURBAN,
EAST END,,0299,RUSTENBURG,
OOS-EINDE,,0299,RUSTENBURG,
EAST END,9300,9300,BLOEMFONTEIN,
OOS-EINDE,9300,9300,BLOEMFONTEIN,
EAST GEDULD,1568,1559,SPRINGS,
OOS-GEDULD,1568,1559,SPRINGS,
EAST GEDULD EXT,,1559,SPRINGS,
OOS-GEDULD UIT,,1559,SPRINGS,
EAST LONDON,5200,5201,EAST LONDON,
OOS-LONDEN,5200,5201,EAST LONDON,
EAST LYNNE,0039,0186,PRETORIA,
LYNNE-OOS,0039,0186,PRETORIA,
EAST LYNNE EXT 2,,0186,PRETORIA,
EAST LYNNE UIT 2,,0186,PRETORIA,
EAST PARK,,1754,KAGISO,
EAST PARK EXT 2,,1754,KAGISO,
EAST PARK UIT 2,,1754,KAGISO,
EAST PARK EXT 5,,1754,KAGISO,
EAST PARK UIT 5,,1754,KAGISO,
EAST RAND,1462,,BOKSBURG,
OOS-RAND,1462,,BOKSBURG,
EAST RAND MALL,1478,,BOKSBURG,
EAST RAND WINKELSENTRUM,1478,,BOKSBURG,
EAST ROCK,,7550,DURBANVILLE,
EAST TOWN,,2195,JOHANNESBURG,
EAST VILLAGE,,1459,BOKSBURG,
EAST VILLAGE,2507,2499,CARLETONVILLE,
EASTBOURNE FARM,2952,2952,OSIZWENI,
EASTBURY,,4068,PHOENIX,
EASTBURY PARK,4158,4068,PHOENIX,
EASTCLIFF,,7200,HERMANUS,
EASTCLIFF,,2190,JOHANNESBURG,
EASTDENE,1050,1055,MIDDELBURG,
EASTERN EXTENSION,,6529,GEORGE,
EASTERN UITBREIDING,,6529,GEORGE,
EASTFIELD,,1475,RUSLOO,
EASTFIELD EXT 10,,1475,RUSLOO,
EASTFIELD UIT 10,,1475,RUSLOO,
EASTFIELD EXT 16,,1475,RUSLOO,
EASTFIELD UIT 16,,1475,RUSLOO,
EASTFIELD EXT 23,,1475,RUSLOO,
EASTFIELD UIT 23,,1475,RUSLOO,
EASTFORD DOWNS,,6571,KNYSNA,
EASTFORD RIDGE,,6571,KNYSNA,
EASTGATE,2103,2090,JOHANNESBURG,
EASTGATE EXT,2148,2090,JOHANNESBURG,
EASTGATE UIT,2148,2090,JOHANNESBURG,
EASTGATE EXT 11,2148,2090,JOHANNESBURG,
EASTGATE UIT 11,2148,2090,JOHANNESBURG,
EASTGATE EXT 12,2148,2090,JOHANNESBURG,
EASTGATE UIT 12,2148,2090,JOHANNESBURG,
EASTGATE EXT 13,2148,2090,JOHANNESBURG,
EASTGATE UIT 13,2148,2090,JOHANNESBURG,
EASTGATE EXT 18,2148,2090,JOHANNESBURG,
EASTGATE UIT 18,2148,2090,JOHANNESBURG,
EASTGATE EXT 3,2148,2090,JOHANNESBURG,
EASTGATE UIT 3,2148,2090,JOHANNESBURG,
EASTGATE EXT 4,2148,2090,JOHANNESBURG,
EASTGATE UIT 4,2148,2090,JOHANNESBURG,
EASTGATE EXT 6,2148,2090,JOHANNESBURG,
EASTGATE UIT 6,2148,2090,JOHANNESBURG,
EASTGATE EXT 8,2148,2090,JOHANNESBURG,
EASTGATE UIT 8,2148,2090,JOHANNESBURG,
EASTGATE EXT 9,2148,2090,JOHANNESBURG,
EASTGATE UIT 9,2148,2090,JOHANNESBURG,
EASTLAKE,,7945,MUIZENBERG,
EASTLAKE ISLAND,,7945,MUIZENBERG,
EASTLAKE VILLAGE,,7945,MUIZENBERG,
EASTLEIGH,,1609,EDENVALE,
EASTLEIGH RIDGE,,1609,EDENVALE,
EASTLEIGHRIF,,1609,EDENVALE,
EASTRIDGE,,7785,MITCHELLS PLAIN,
EASTVALE,1558,1559,SPRINGS,
EASTWOLDS,3241,,DONNYBROOK,
EASTWOOD,,0083,PRETORIA,
EASTWOOD,,3201,PIETERMARITZBURG,
EATONSIDE,1904,1983,SEBOKENG,
EATONSIDE AREA 1,,1983,SEBOKENG,
EBENDE,5000,,IDUTYWA,
EBENHAESER,8149,8149,LUTZVILLE,
EBHOTWE,5040,,WILLOWVALE,
EBILANYONI,3185,,PAULPIETERSBURG,
EBONY PARK,1690,1632,TEMBISA,
EBONY PARK EXT 1,,1632,TEMBISA,
EBONY PARK UIT 1,,1632,TEMBISA,
EBONY PARK EXT 2,,1632,TEMBISA,
EBONY PARK UIT 2,,1632,TEMBISA,
EBONY PARK EXT 3,1686,1686,TEMBISA,
EBONY PARK UIT 3,1686,1686,TEMBISA,
EBONY PARK EXT 4,1690,1632,TEMBISA,
EBONY PARK UIT 4,1690,1632,TEMBISA,
EBONY PARK EXT 5,,1632,TEMBISA,
EBONY PARK UIT 5,,1632,TEMBISA,
EBONY PARK EXT 6,,1632,TEMBISA,
EBONY PARK UIT 6,,1632,TEMBISA,
EBONY PARK EXT 9,1632,1632,TEMBISA,
EBONY PARK UIT 9,1632,1632,TEMBISA,
EBOTSE,1514,1501,JOHANNESBURG,
EBUMNANDINI,,1754,KAGISO,
ECALENI SECTION,1628,1632,TEMBISA,
ECALENI SEKSIE,1628,1632,TEMBISA,
ECHIBINI,3242,,OZWATINI,
ECO BOULEVARD,0144,,ECO BOULEVARD,
ECO PARK EST,0140,0157,CENTURION,
ECOPARK LGD,0140,0157,CENTURION,
EDELWEISS,1577,1559,SPRINGS,
EDELWEISS EXT,,1559,SPRINGS,
EDELWEISS UIT,,1559,SPRINGS,
EDELWEISS EXT 1,,1559,SPRINGS,
EDELWEISS UIT 1,,1559,SPRINGS,
EDELWEISS EXT 3,,1559,SPRINGS,
EDELWEISS UIT 3,,1559,SPRINGS,
EDELWEISS EXT 6,,1559,SPRINGS,
EDELWEISS UIT 6,,1559,SPRINGS,
EDEN,,6529,GEORGE,
EDEN GLEN,1613,1609,EDENVALE,
EDEN GLEN EXT 1,,1609,EDENVALE,
EDEN GLEN UIT 1,,1609,EDENVALE,
EDEN GLEN EXT 11,,1609,EDENVALE,
EDEN GLEN UIT 11,,1609,EDENVALE,
EDEN GLEN EXT 12,,1609,EDENVALE,
EDEN GLEN UIT 12,,1609,EDENVALE,
EDEN GLEN EXT 13,,1609,EDENVALE,
EDEN GLEN UIT 13,,1609,EDENVALE,
EDEN GLEN EXT 14,,1609,EDENVALE,
EDEN GLEN UIT 14,,1609,EDENVALE,
EDEN GLEN EXT 15,,1609,EDENVALE,
EDEN GLEN UIT 15,,1609,EDENVALE,
EDEN GLEN EXT 18,,1609,EDENVALE,
EDEN GLEN UIT 18,,1609,EDENVALE,
EDEN GLEN EXT 19,,1609,EDENVALE,
EDEN GLEN UIT 19,,1609,EDENVALE,
EDEN GLEN EXT 2,,1609,EDENVALE,
EDEN GLEN UIT 2,,1609,EDENVALE,
EDEN GLEN EXT 20,,1609,EDENVALE,
EDEN GLEN UIT 20,,1609,EDENVALE,
EDEN GLEN EXT 21,,1609,EDENVALE,
EDEN GLEN UIT 21,,1609,EDENVALE,
EDEN GLEN EXT 24,,1609,EDENVALE,
EDEN GLEN UIT 24,,1609,EDENVALE,
EDEN GLEN EXT 27,,1609,EDENVALE,
EDEN GLEN UIT 27,,1609,EDENVALE,
EDEN GLEN EXT 29,,1609,EDENVALE,
EDEN GLEN UIT 29,,1609,EDENVALE,
EDEN GLEN EXT 3,,1609,EDENVALE,
EDEN GLEN UIT 3,,1609,EDENVALE,
EDEN GLEN EXT 30,,1609,EDENVALE,
EDEN GLEN UIT 30,,1609,EDENVALE,
EDEN GLEN EXT 35,,1609,EDENVALE,
EDEN GLEN UIT 35,,1609,EDENVALE,
EDEN GLEN EXT 36,,1609,EDENVALE,
EDEN GLEN UIT 36,,1609,EDENVALE,
EDEN GLEN EXT 38,,1609,EDENVALE,
EDEN GLEN UIT 38,,1609,EDENVALE,
EDEN GLEN EXT 4,,1609,EDENVALE,
EDEN GLEN UIT 4,,1609,EDENVALE,
EDEN GLEN EXT 40,,1609,EDENVALE,
EDEN GLEN UIT 40,,1609,EDENVALE,
EDEN GLEN EXT 5,,1609,EDENVALE,
EDEN GLEN UIT 5,,1609,EDENVALE,
EDEN GLEN EXT 51,,1609,EDENVALE,
EDEN GLEN UIT 51,,1609,EDENVALE,
EDEN GLEN EXT 55,,1609,EDENVALE,
EDEN GLEN UIT 55,,1609,EDENVALE,
EDEN GLEN EXT 59,,1609,EDENVALE,
EDEN GLEN UIT 59,,1609,EDENVALE,
EDEN GLEN EXT 6,,1609,EDENVALE,
EDEN GLEN UIT 6,,1609,EDENVALE,
EDEN GLEN EXT 60,,1609,EDENVALE,
EDEN GLEN UIT 60,,1609,EDENVALE,
EDEN GLEN EXT 72,,1609,EDENVALE,
EDEN GLEN UIT 72,,1609,EDENVALE,
EDEN GLEN EXT 8,,1609,EDENVALE,
EDEN GLEN UIT 8,,1609,EDENVALE,
EDEN PARK,1455,1458,ALBERTON,
EDEN PARK,,7560,BRACKENFELL,
EDEN PARK,,1034,WITBANK,
EDEN PARK EXT 1,,1458,ALBERTON,
EDEN PARK UIT 1,,1458,ALBERTON,
EDEN PARK EXT 5,1455,1458,ALBERTON,
EDENPARK UIT 5,1455,1458,ALBERTON,
EDEN PARK WEST,1455,1458,EDEN PARK,
EDENPARK-WES,1455,1458,EDEN PARK,
EDEN STORE,4260,,IZINGOLWENI,
EDENBURG,9908,9908,EDENBURG,
EDENBURG,2128,2191,JOHANNESBURG,
EDENDALE,,1609,EDENVALE,
EDENDALE,3219,3201,PIETERMARITZBURG,
EDENGLEN,6330,6330,JEFFREYS BAY,
EDENHILL,,1609,EDENVALE,
EDENHOOGTE,9908,9908,EDENBURG,
EDENVALE,1610,1609,GAUTENG,
EDENVALE EXT 1,,1609,EDENVALE,
EDENVALE UIT 1,,1609,EDENVALE,
EDENVILLE,9535,9535,FREE STATE,
EDGARDALE,,2092,JOHANNESBURG,
EDGE OF THE VAAL,,1911,VANDERBIJLPARK,
EDGEMEAD,7407,7441,CAPE TOWN,
EDLEEN,1625,1619,KEMPTON PARK,
EDLEEN EXT 1,,1619,KEMPTON PARK,
EDLEEN UIT 1,,1619,KEMPTON PARK,
EDLEEN EXT 13,,1619,KEMPTON PARK,
EDLEEN UIT 13,,1619,KEMPTON PARK,
EDLEEN EXT 3,,1619,KEMPTON PARK,
EDLEEN UIT 3,,1619,KEMPTON PARK,
EDLEEN EXT 5,,1619,KEMPTON PARK,
EDLEEN UIT 5,,1619,KEMPTON PARK,
EDNESS,5130,,TABANKULU,
EDONQABA,5609,5601,KING WILLIAM'S TOWN,
EDRAYINI,3010,,TUGELA FERRY,
EDUAN PARK,,0699,POLOKWANE,
EDUWIN,1415,,GERMISTON,
EDWARD ROAD,4270,,UVONGO,
EEDERVALE,,7100,EERSTE RIVER,
EENDEKUIL,7335,,PIKETBERG,
EENDRAG,2266,2266,EVANDER,
EENSAAM,1059,,NEBO,
EERSTE RIVER,7103,7100,CAPE TOWN,
EERSTERIVIER,7103,7100,CAPE TOWN,
EERSTE RIVER EXT 7,,7100,EERSTE RIVER,
EERSTERIVIER UIT 7,,7100,EERSTE RIVER,
EERSTE RIVER SOUTH,,7100,EERSTE RIVER,
EERSTERIVIER-SUID,,7100,EERSTE RIVER,
EERSTEGOUD,0701,,POLOKWANE,
